,page,roundup,bulletin_url,bulletin_mps,rougef1,len_ratio
58,https://web.archive.org/web/20210517053715/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"UK online job adverts in catering and hospitality rise above pre-pandemic levels
UK online job adverts for “catering and hospitality” roles were above pre-pandemic levels, at 103% of their February 2020 average on 7 May 2021.
According to Adzuna, the volume of online job adverts for catering and hospitality has increased by 46 percentage points since 9 April 2021, a strong upward trend coinciding with the recent easing of hospitality restrictions across the UK.
Data download
Catering and hospitality online job adverts saw the largest fortnightly increase of all categories on 7 May 2021 (22 percentage points) when compared with 22 April 2021. Within the same period, another notable increase was seen in “transport, logistics and warehouse”, which was 18 percentage points higher than a fortnight ago, at 235% of its February 2020 average level on 7 May 2021.
Overall, total UK online job adverts were at 107% of their February 2020 average level on 7 May 2021, an increase of 4 percentage points from a fortnight ago. This marks the first time there have been more online job adverts than there were for the same period in 2019.
",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/13may2021,"In the week to 6 May 2021, the aggregate CHAPS-based indicator of credit and debit card purchases increased by 7 percentage points from the previous week to exceed pre-pandemic levels at 106% of its February 2020 average; this was in-part driven by a notable rise in “social” spend (which refers to things such as travel and eating out) (Bank of England’s CHAPS data). See Section 3.
According to initial results from Wave 30 of the BICS (19 April to 2 May 2021), the proportion of the workforce of all UK businesses on furlough was 11%, a slight decrease from 13% in the previous wave (Business Insights and Conditions Survey (BICS)). See Section 4.
In March 2021, a net 7% of 34,940 firms reported an increase in turnover compared with March 2020; this was driven by turnover estimates increasing in all major industries (services, production, construction, and agriculture) (Her Majesty’s Revenue and Customs). See Section 5.
On 7 May 2021, the proportion of UK online job adverts for ""catering and hospitality"" was above pre-pandemic levels at 103% of its February 2020 average level, an increase of 46 percentage points since 9 April 2021, just before hospitality restrictions began to ease in the UK (Adzuna). See Section 6.
In the week to 10 May 2021, the average estimate of UK-seated diners was 60% of its level in the equivalent week of 2019; down 5 percentage points from the previous week but still consistently higher than levels seen before the recent easing of restrictions across the UK (OpenTable). See Section 7.
In the week to 8 May 2021, overall retail footfall in the UK saw a weekly decrease of 4% and was at 75% of the level seen in the equivalent week of 2019; this level remains consistent with that seen in recent weeks, since the easing of lockdown restrictions in England on 12 April 2021, when footfall volumes grew substantially higher (Springboard). See Section 8.
There was an average of 323 daily ship visits in the week ending 9 May 2021, a decrease of 10% from the previous week (358) but broadly unchanged when compared with the equivalent week in 2019 (321) (exactEarth). See Section 10.
The volume of motor vehicle traffic on Monday 10 May 2021 was at 93% of the level seen in the first week of February 2020, broadly unchanged from two weeks ago (Department for Transport (DfT)). See Section 11.
There were 13,768 company incorporations in the week to 7 May 2021, an 11% decrease from the previous week (15,476), but 19% higher than the equivalent week in 2019 (11,558) (Companies House). See the accompanying dataset.
There were 6,019 voluntary dissolution applications in the week to 7 May 2021, a 14% decrease from the previous week (6,976) but 34% higher than the equivalent week of 2019 (4,505) (Companies House). See the accompanying dataset.
The overall price of items in the online food and drink basket was unchanged in the latest week ending 9 May 2021; the main downward contribution came from ""bread and cereals"", but this was offset mostly by price increases for ""sugar, jam, syrup, chocolate and confectionery"" (Online price collection). See accompanying dataset.
",0.15630550229126516,2.741424802110818
61,https://web.archive.org/web/20210605155126/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Number of online job adverts on 21 May 2021 higher than in 2019 and 2020
The number of online job adverts in the UK was at 118% of its February 2020 average level on 21 May 2021. This is higher than the level seen on the equivalent day in 2019 and 2020, according to Adzuna.
The volume of UK online job adverts was up 4 percentage points on 21 May 2021 from the previous week (14 May 2021).
Download the data
When compared with the previous week, and excluding the ”unknown” job adverts category, the volume of online job adverts had increased in 26 of the 28 categories. The largest weekly increase was for the ""transport / logistics / warehouse"" category, which rose by 21 percentage points to 275% of its February 2020 average level on 21 May 2021. This is the highest volume of online job adverts observed for this category since the series began in February 2018 and continues its recent strong upward trend, having risen by 139 percentage points since 5 March 2021.
The volume of online job adverts for the “manufacturing” category also saw a large increase of 14 percentage points from last week, to 231% of its February 2021 average level on 21 May 2021. The volume of manufacturing online job adverts has been rising steadily since the beginning of 2021 and has increased by 122 percentage points since 8 January 2021.
Meanwhile, in the latest week, the volume of online job adverts in “catering and hospitality” fell by 2 percentage points to 113% of its February 2020 average on 21 May 2021, following its recent upward trend.
",https://www.ons.gov.uk/releases/economicactivityandsocialchangeintheukrealtimeindicators27may2021,"We are currently undertaking research to improve this bulletin for our users. Please complete this 5-minute survey to tell us your views.
In the week to Monday 24 May 2021, the seven-day average estimate of UK seated diners was at 132% of the level in the same week of 2019; this is an increase of 59 percentage points from the previous week​ and follows the reopening of indoor dining across much of the UK on 17 May 2021. See Section 3.
Around a third of UK businesses experienced a decrease in turnover in early May compared with what is normally expected at this time of year, the lowest proportion reported since the series began in June 2020 (Initial results from Wave 31 of the Business Insights and Conditions Survey (BICS)). See Section 4.
The volume of UK online job adverts on 21 May 2021 was at 118% of its February 2020 average level; this is up 4 percentage points from the previous week and higher than the volume of online job adverts on the equivalent day in 2019 (Adzuna). See Section 5.
After a fall in January 2021, average counts of vehicles in most vehicle categories on the Strategic Roads Network around English ports returned to their December 2020 levels by March 2021 (Highways England). See Section 6.
In the week to 20 May 2021, the aggregate CHAPS-based indicator of credit and debit card purchases was at 96% of its February 2020 average level; this is an increase of 31 percentage points from the level seen in early January 2020 (Bank of England Clearing House Automated Payment System (CHAPS) data). See Section 7.
In the week to 22 May 2021, UK retail footfall was at 71% of its level in the equivalent week of 2019, with footfall at retail parks still faring much more strongly than at high streets and shopping centres relative to their pre-pandemic levels (Springboard). See Section 8.
There was an average of 365 daily ship visits in the week ending 23 May 2021, an increase of 4% from the previous week (350) but 6% lower than the equivalent week in 2019 (390) (exactEarth). See Section 10.
The volume of motor vehicle traffic on Monday 17 May 2021 was at 97% of the level seen in the first week of February 2020, broadly unchanged from the previous week (Department for Transport (DfT)). See Section 11.
There were 15,638 company incorporations in the week to 21 May 2021, a 10% decrease from the previous week (17,316), but 6% higher than the equivalent week in 2019 (14,807) (Companies House). See the accompanying dataset.
There were 6,634 voluntary dissolution applications in the week to 21 May 2021, a 15% increase from the previous week (5,790) and 39% higher than the equivalent week of 2019 (4,787) (Companies House). See the accompanying dataset.
The overall price of items in the online food and drink basket increased by 0.1% in the week ending 23 May 2021; the main upward contributions came from ""meat"" and ""bread and cereals"", but this was offset in part by a price decrease for ""sugar, jam, syrup, chocolate and confectionery"" (online price collection). See the accompanying dataset.
",0.1566666622446668,1.9772431729518856
2,https://web.archive.org/web/20210126034402/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Coronavirus hits young and poorly-paid furloughed workers the hardest
Young people and those on the lowest incomes who were furloughed are more likely to have felt the impact of the coronavirus.
Estimates of personal and economic well-being in Great Britain, from March 2020 to December 2020, showed people under 30 years and those with household incomes under £10,000 were around 40% and 60% respectively more likely to be furloughed than the general population.
Young people and those on the lowest incomes were as likely to be impacted in this second phase, during November, as they were in the first lockdown. There was a six-fold increase in those aged under 30 years reporting that they had been furloughed, from 2.1% for the four days to 1 November to 12.3% for the period 4 to 8 November.
Those on the lowest incomes were also more likely to be furloughed over 2020. During 11 to 15 November, when restrictions were tightened in some areas of the country, 17% of people with a household income less than £10,000 reported that they had been furloughed. This compares with 2.7% of people with a household income of more than £40,000 who said they had been furloughed.
",https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/personalandeconomicwellbeingintheuk/january2021,"The labour market shocks associated with the coronavirus (COVID-19) pandemic have been felt more by young people and the lowest paid; people aged under 30 years and those with household incomes under £10,000 were around 35% and 60%, respectively, more likely to be furloughed than the general population.
Of those who have not been able to work (either because of being on furlough or for another reason), over half (52%) of people in the top income quintile continued to be paid in full, while this was the case for only 28% of those in the lowest income quintile.
People with a job or seeking work were more likely to have decreased income during the pandemic, and particularly the poorest 20%, while others such as retired people out of the labour market were more protected.
Throughout the pandemic, employed parents were almost twice as likely to report a reduction in income than the general employed population, although this gap gradually narrowed throughout 2020 as schools reopened.
Self-employed people were more likely to report reduced working hours and reduced income, even if they had received support from the Self-Employment Income Support Scheme (SEISS).
By December 2020, nearly 9 million people had to borrow more money because of the coronavirus pandemic; the proportion borrowing £1,000 or more also increased from 35% to 45% since June 2020.
Impacts to household spending have been felt differently across groups, with parents less able to afford either a holiday or an unexpected but necessary expense than non-parents; they were also roughly 50% more likely to have difficulty meeting their usual expenses.
",0.1621621573143214,1.3901192504258943
143,https://web.archive.org/web/20220407125827/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"UK spending and OpenTable seated diners increased by 6 percentage points
Consumer activity across the UK showed a mixed picture in the most recent week, with visits to retail stores and recreation areas at 15% below pre-coronavirus (COVID-19) levels; 1% lower than the previous week, according to Google Mobility data. Additionally, Springboard’s retail footfall decreased by 8% from the previous week.
Visits to retail and recreation locations have not yet returned to pre-coronavirus levels and remain below pre-Omicron variant levels. There has been a slow upward trend in visits to workspaces since the low of April 2020, but these are still 21% below pre-coronavirus levels. Visits to transit stations have been the slowest to recover and are still 28% below pre-coronavirus levels.
Visits to each location type in the week to 1 April 2022 compared with the previous week:
🠕 Back to the top
",https://www.ons.gov.uk/releases/economicactivityandsocialchangeintheukrealtimeindicators7april2022,"Both UK spending on credit and debit cards, and OpenTable UK seated diners, increased by 6 percentage points in the latest week; meanwhile, visits to retail stores and recreation areas were 15% below pre-coronavirus (COVID-19) levels and 1% lower than the previous week according to Google Mobility data. Section 3.
In the latest week, there were increases in 16 of the 28 online job advert categories, with the largest weekly increase in “travel and tourism” (11%). Section 4.
In March 2022, the seasonally adjusted number of new Value Added Tax (VAT) reporters was 12% lower than the previous month and 18% lower than reported in March 2021. Section 4.
The top two concerns reported by businesses continued to be input price inflation (23%) and energy prices (20%); concerns about energy prices saw the largest rise of all concerns, from 15% in late February 2022 to 20% in late March 2022 (final results from Wave 53 of the Business Insights and Conditions Survey (BICS)).
While the volume of all ship visits and road traffic showed week-on-week decreases of 10% and 4 percentage points, respectively, daily UK flights increased by 19% in the latest week, to the highest level compared with the pre-coronavirus equivalent week. Section 5.
The System Average Price (SAP) of gas increased by 17% in the week to 3 April 2022, with the level now 58% of that on 10 March 2022, when prices peaked in the rolling seven-day series; the SAP is 444% higher compared with the same period last year (week ending 4 April 2021).
",0.17032966575368325,1.6941964285714286
39,https://web.archive.org/web/20210413063033/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"The proportion of businesses currently trading and the workforce on furlough leave have remained stable in late March 2021
The percentage of UK businesses that were currently trading between 22 March and 4 April 2021 has remained broadly unchanged at 75%.
There has been a slight increase since the start of the year, with 71% of businesses reporting that they were trading in early January 2021. The percentage for the end of March 2021 is similar to the level seen in early July 2020 but still lower than mid-December 2020, when 84% of businesses were trading. This is because of continuing coronavirus (COVID-19) restrictions.
Across all UK industries in Wave 27 (22 March to 4 April 2021) of the Business Insights and Conditions Survey:
The continuing coronavirus restrictions in place since the start of 2021 mean the proportion of the workforce on furlough leave has remained stable throughout January to March 2021, and is 19% at the end of March. These levels are comparable with those seen in early July 2020.
",https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/bulletins/businessinsightsandimpactontheukeconomy/8april2021,"The percentage of businesses currently trading has increased slightly from 71% in early January 2021 to 75% in late March 2021, similar to the level seen in July 2020.
The proportion of businesses’ workforce on furlough leave was 19%, which equates to approximately 6 million people.
Of businesses currently trading, 8% were providing regular coronavirus testing to their workforce in late March 2021, and of those businesses, 25% of the workforce were receiving regular coronavirus testing, which equates to 2% of the workforce of businesses currently trading.
In response to reducing carbon emissions, switching to LED bulbs is the most reported action that businesses have taken and intend to take to meet the net zero carbon emissions targets.
The main challenge reported by currently trading businesses for exporting and importing was additional paperwork, at 38% and 45% respectively.
The information and communication industry, and the professional, scientific and technical activities industry had the largest percentages of their workforces working remotely instead of at their normal place of work, at 81% and 71% respectively.
",0.1721854254813387,1.1167811579980373
125,https://web.archive.org/web/20211215074538/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Inflation at its highest rate in over a decade
The Consumer Price Index (CPI) also rose from 4.2% to 5.1% in November 2021.
A wide range of prices contributed to the rise in inflation, with the largest upward contributions coming from motor fuels as well as clothing and footwear, where prices rose this year but fell a year ago.
🠕 Back to the top
",https://www.ons.gov.uk/releases/consumerpriceinflationuknovember2021,"The Consumer Prices Index including owner occupiers’ housing costs (CPIH) rose by 4.6% in the 12 months to November 2021, up from 3.8% in the 12 months to October.
The largest upward contributions to the November 2021 CPIH 12-month inflation rate came from transport (1.34 percentage points, principally from motor fuels and second-hand cars) and housing and household services (1.28 percentage points).
On a monthly basis, CPIH increased by 0.6% in November 2021, compared with a fall of 0.1% in November 2020.
The upward contributions to the change in the CPIH 12-month inflation rate between October and November 2021 were broad based, with the largest coming from transport (particularly motor fuels), and clothing and footwear.
These were partially offset by a large downward contribution from restaurants and hotels.
The Consumer Prices Index (CPI) rose by 5.1% in the 12 months to November 2021, up from 4.2% in October.
On a monthly basis, CPI increased by 0.7% in November 2021, compared with a fall of 0.1% in November 2020.
",0.17346938335693474,2.9741379310344827
48,https://web.archive.org/web/20210501142704/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Monthly retail sales volumes rose above pre-pandemic levels as restrictions on consumer spending lifted
Retail sales increased in March 2021, reflecting some easing of coronavirus (COVID-19) restrictions on consumer spending. The quantity of goods bought rose by 5.4% compared with February 2021, and the amount spent increased 5.5%.
Sales levels also rose above pre-pandemic levels, with the amount bought 1.6% higher in March 2021 than in February 2020.
Non-food stores were the biggest contributor to growth in March, with clothing stores among the main drivers behind this contribution. Automotive fuel sales volumes also saw a significant monthly rise of 11.1% in March 2021, with government restrictions on travel eased on 29 March.
",https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/march2021,"Retail sales volumes continued to recover in March 2021, with an increase of 5.4% when compared with the previous month reflecting the effect of the easing of coronavirus (COVID-19) restrictions on consumer spending; sales were 1.6% higher than February 2020 before the impact of the coronavirus pandemic.
Non-food stores provided the largest positive contribution to the monthly growth in March 2021 sales volumes, aided by strong increases of 17.5% and 13.4% in clothing stores and other non-food stores respectively.
Food stores reported monthly growth of 2.5% in March 2021, with strong growth in specialist food stores (butchers and bakers) likely reflecting the continued closure of the hospitality sector during the Easter period.
Automotive fuel retailers also reported strong monthly growth of 11.1% as travel restrictions were eased towards the end of the reporting period.
Despite strong March figures, retail sales for the quarter have been subdued overall; in the three months to March 2021, retail sales volume fell by 5.8% when compared with the previous three months, with strong declines in both clothing stores and other non-food stores as a result of the tighter lockdown restrictions in place.
The proportion spent online decreased to 34.7% in March 2021, down from 36.2% in February 2021 but still above the 23.1% reported in March 2020; the value of online spending did increase in March, but spending in-store increased at a faster rate.
",0.1766561469892228,1.9769959404600812
84,https://web.archive.org/web/20210812100801/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"UK flights surpassed seven-day average of 3,000 for the first time since March 2020
The seven-day average number of UK daily flights has surpassed 3,000 for the first time since the week ending 22 March 2020 - the day before the coronavirus (COVID-19) lockdown first began in the UK.
In the week ending 8 August 2021, the seven-day average number of UK daily flights increased by 6% to 3,111 according to data from EUROCONTROL.
The seven-day average number of UK daily flights has now increased by 118% since the week ending 23 May 2021, which was the week that international travel was allowed to restart and the travel traffic light system was implemented. The average number of UK daily flights in the latest week was 47% of the level seen in the equivalent week of 2019. This is up by 2 percentage points from the previous week.
🠕 Back to the top
",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/12august2021,"In the week ending 8 August 2021, the seven-day average number of UK daily flights increased by 6% from the previous week to 3,111; this was the first time that the seven-day average surpassed 3,000 daily flights since the week ending 22 March 2020 (EUROCONTROL). Section 3.
On 6 August 2021, the total volume of online job adverts fell by 5% from the previous week to 129% of its February 2020 average level; the volume of online job adverts across all UK countries and English regions decreased when compared with the previous week (Adzuna). Section 4.
In June 2021, an equal number of firms reported increasing turnover as those reporting decreasing turnover in the last month; this was driven by marginal increases in turnover in services and production but decreasing turnover in construction (HM Revenue and Customs Value Added Tax returns). Section 5.
In the week to 5 August 2021, the aggregate CHAPS-based indicator of credit and debit card purchases increased by 4 percentage points from the previous week, to 99% of its February 2020 average (Bank of England CHAPS data). Section 6.
In the week to 7 August 2021, overall retail footfall in the UK had increased slightly by 1% and was at 80% of the level seen in the equivalent week of 2019 (Springboard). Section 7.
In the week to 9 August 2021, the seven-day average estimate of UK seated diners decreased slightly by 2 percentage points from the previous week to 127% of the level in the equivalent week of 2019 (OpenTable). Section 8.
The percentage of businesses currently trading was 89% in early August 2021; this figure has remained stable since late June 2021, following a steady increase from 71% in January 2021 (Business Insights and Conditions Survey (BICS), 26 July to 8 August 2021). Section 9.
90% of adults who left their home wore a face covering in the latest week, a slight decrease compared with the previous week (92%) (Opinions and Lifestyle Survey, 4 to 8 August 2021). Section 10.
The volume of all motor vehicle traffic on Monday 9 August 2021 was at 98% of the level seen in the first week of February 2020; this is unchanged for the third consecutive week (Department for Transport). Section 11.
In the week ending 8 August 2021, the seasonally adjusted average count of traffic camera activity for “pedestrians and cyclists” in the North East and Greater Manchester increased by 5% and 3%, respectively, from the previous week, while in London this category decreased by 3% over the same period (North East Traffic Cameras, Transport for Greater Manchester and Transport for London). See the accompanying dataset.
There were 13,152 company incorporations in the week to 6 August 2021; this was broadly unchanged for the second consecutive week, but was 3% higher than the equivalent week of 2019 (12,828) (Companies House). See the accompanying dataset.
There were 5,480 voluntary dissolution applications in the week to 6 August 2021; this is a 4% decrease from the previous week (5,735) and 9% lower than the equivalent week of 2019 (6,042) (Companies House). See the accompanying dataset.
",0.17741935125520297,3.6204465334900116
78,https://web.archive.org/web/20210811194228/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Average UK daily flights up 117% since May 2021
The seven-day average number of daily flights arriving to and departing from the UK rose to 2,929 in the week to 1 August 2021, up by 2% from the previous week.
This is a 117% increase from the average number of daily flights seen in the week ending 23 May 2021 (the week that international travel re-started, and the UK government’s traffic light system began), according to data from EUROCONTROL.
The seven-day average number of UK daily flights in the latest week to 1 August 2021 was at 45% of the level seen in the equivalent week in 2019, and 134% of the level seen in the equivalent week of 2020 (when UK travel corridors were in place).
🠕 Back to the top
",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/5august2021,"In the week to 1 August 2021, the seven-day average number of UK daily flights rose slightly by 2% from the previous week; UK daily flights have now increased by 117% from the week ending 23 May 2021, the week that international travel was allowed to restart and the UK government's travel traffic light system was implemented (17 May 2021) (EUROCONTROL). Section 3.
In the week to 2 August 2021, the seven-day average estimate of UK seated diners increased by 10 percentage points from the previous week to 129% of the level seen in the equivalent week of 2019 (OpenTable). Section 4.
On 30 July 2021, the volume of total online job adverts had increased slightly by 3% and was at 135% of its February 2020 average level; the biggest weekly increase was seen in the ""transport/logistics/warehouse"" category, which rose by 11% over the latest week (Adzuna). Section 5.
In mid-July 2021, 25% of UK businesses saw a decrease in turnover compared with what is normally expected at this time of year; this is the lowest proportion seen since the series began in June 2020 (initial results from Wave 36 of the Business Insights and Conditions Survey (BICS)). Section 6.
In the week to 31 July 2021, overall retail footfall in the UK had increased by 2% and was at 77% of the level seen in the equivalent week of 2019; the weekly rise was in-part driven by an 8% increase in footfall at shopping centres over the week (Springboard). Section 7.
In the week to 29 July 2021, the aggregate CHAPS-based indicator of credit and debit card purchases increased by 2 percentage points from the previous week, to 96% of its February 2020 average (Bank of England CHAPS data). Section 8.
The proportion of adults who left their home and wore a face covering was at 92% in the latest week, down 3 percentage points from the previous week (Opinions and Lifestyle Survey, 28 July to 1 August 2021). Section 9.
The volume of all motor vehicle traffic on Monday 2 August 2021 was at 98% of the level seen in the first week of February 2020; this is unchanged from the previous week (Department for Transport). Section 10.
In the week ending 1 August 2021, the average count of traffic camera activity for ""pedestrians and cyclists"" in London and Greater Manchester increased by 9% and 18%, respectively, when compared with the previous week (Transport for London, Transport for Greater Manchester). See the accompanying dataset.
There were 13,186 company incorporations in the week to 30 July 2021, broadly unchanged when compared with the previous week (13,166), but 4% higher than the equivalent week of 2019 (12,655) (Companies House). See the accompanying dataset.
There were 5,735 voluntary dissolution applications in the week to 30 July 2021, a 6% increase from the previous week (5,397) and 3% higher than the equivalent week of 2019 (5,568) (Companies House). See the accompanying dataset.
",0.1782608661380908,4.047819971870605
0,https://web.archive.org/web/20210126034402/https://www.ons.gov.uk/economy/economicoutputandproductivity/output/articles/ukeconomylatest/2021-01-25,"Retail sales rose in December, but saw a record decline in 2020 as a whole
Retail sales increased slightly in December 2020 compared with November 2020, with the value of sales increasing 0.4% and the volume of sales (quantity bought) increasing 0.3%.
This reflects a period of eased coronavirus (COVID-19) restrictions in early December, following a national lockdown in England in November.
Although tighter restrictions to non-essential retail were introduced later in December, feedback from retailers suggested that Christmas purchases through click and collect and online sales lessened the impact of these measures.
Total retail sales volumes fell 1.9% in 2020 compared with 2019. This is the largest annual drop since records began.
Clothing stores saw the largest annual fall in 2020 at negative 25.1%, followed by fuel retailers where sales dropped 22.2%. Retail and travel restrictions introduced to curb the spread of coronavirus in 2020 heavily affected these sectors.
However, food stores recorded their highest yearly growth since 2001, and non-store retailers (which include online stores) reported a record annual growth of 32%. The amount spent in online stores in 2020 increased 46.1% compared with 2019, the largest annual increase since 2008.
",https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/december2020,"In December 2020, retail sales volumes increased by 0.3% when compared with November 2020, resulting in an increase of 2.7% when compared with February's pre-lockdown level.
Clothing stores reported strong monthly growth of 21.5%, rebounding from a large fall in November 2020 when stores were closed because of coronavirus  (COVID-19) restrictions.
The year-on-year growth rate in the volume of retail sales increased by 2.9% when compared with December 2019; non-store retailers reported the largest year-on-year growth at 43.5% while food stores also saw strong annual growth of 4.4%.
In 2020 as a whole, estimates of the quantity bought decreased by 1.9% when compared with 2019, the largest year-on-year fall on record.
Clothing stores (negative 25.1%), fuel stores (negative 22.2%), ""other stores"" (negative 11.6%) and department stores (negative 5.2%) all recorded record annual declines in sales volumes in 2020 when compared with 2019, non-store retailing, however, saw a record annual increase of 32.0% for 2020.
Total online retailing values increased by 46.1% in 2020 when compared with 2019, the highest annual growth reported since 2008.
Food stores (79.3%), ""other stores"" (73.9%), household goods stores (73.4%) and department stores (65.9%) all recorded record annual increases in values of internet sales in 2020 when compared with 2019.
",0.18181817681852347,1.0727848101265822
