,page,section,date,roundup,bulletin_url,bulletin_mps
0,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['9 July 2021'],"['Infections have increased across the UK', 'Coronavirus (COVID-19) cases increased in England, Wales, Northern Ireland and Scotland in the week ending 3 July 2021.', 'The estimated percentage of the community population (those not in hospitals, care homes or other institutional settings) that had COVID-19 was:', ' - 0.61% in England (1 in 160 people)', ' - 0.30% in Wales (1 in 340 people)', ' - 0.33% in Northern Ireland (1 in 300 people)', ' - 1.01% in Scotland (1 in 100 people)', 'In England, infections were estimated to be highest in the North East and North West regions.', 'Across England overall, estimated infection rates increased in all age groups and were highest in those in school Year 12 (aged 16 and 17 years) to age 24 years.']","[{'text': 'Read the latest Coronavirus (COVID-19) Infection Survey bulletin', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest'}]",placeholder
1,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,2.0,['9 July 2021'],"['Most report more social distancing than they perceive in others', ""Most adults felt that compliance with social distancing measures and wearing a face-covering were “important” or “very important”. However, their perception of other people's compliance with social distancing was lower."", 'Around 9 in 10 (87%) thought it was important to socially distance from those not in their household, childcare or support bubble. However, only 23% of adults felt that other people often or always did so.', 'Just over 9 in 10 (91%) thought it was important to wear a face-covering while shopping and 87% said that they had seen either “everyone” or “almost everyone” doing so while shopping.', 'Just under half (48%) met up indoors with someone not in their household, childcare or support bubble, while 58% met up outdoors. These proportions increased considerably as restrictions eased.', 'Almost all (96%) adults reported that they have now received or would be likely to accept a COVID-19 vaccine if offered. Of those aged 16 to 29 years, 90% reported positive vaccine sentiment, compared with 63% at the start of the vaccination programme in December 2020.']","[{'text': 'Latest bulletin on Coronavirus and the social impacts on Great Britain: 9 July 2021', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandthesocialimpactsongreatbritain/latest'}]",placeholder
2,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,3.0,['7 July 2021'],"['COVID-19 antibodies continue to rise in line with vaccinations across the UK countries', 'An estimated 89.8% of the adult population in England, 91.8% in Wales, 87.2% in Northern Ireland and 84.7% in Scotland tested positive for COVID-19 antibodies in the week beginning 14 June 2021.', 'During the same week, estimated vaccination rates continued to increase in all four UK countries.', 'The presence of antibodies suggests a person previously had COVID-19 or has been vaccinated.', 'Antibody positivity increases with age, reflecting age prioritisation in vaccination programmes. Vaccination rates are lowest in younger age groups but are increasing. Across the four UK countries, the estimated percentage of adults aged 25 to 34 years who have received one or more doses of COVID-19 vaccination ranged from 75.7% to 79.6%. This has increased sharply since the end of May 2021.', 'These statistics refer to antibody tests and vaccinations among people living in private households, and exclude those in hospitals, care homes and other institutional settings.', 'Our estimates of vaccination are provided for context alongside our antibodies estimates. The daily official government figures provide the actual numbers of vaccines issued.']","[{'text': 'Latest bulletin on antibody and vaccination data in the UK', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveyantibodyandvaccinationdatafortheuk/latest'}]",placeholder
3,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,4.0,['6 July 2021'],"['Deaths in England and Wales fall below five-year average', 'The number of deaths from all causes in England and Wales in the week ending 25 June 2021 was 8,690; 7.6% below the five-year average for the corresponding week.', 'There were 99 deaths involving coronavirus (COVID-19) registered in England and Wales in the week ending 25 June; three deaths fewer than the previous week. Deaths involving COVID-19 accounted for around 1 in 91, or 1.1%, of all deaths.', 'Wales had one death involving COVID-19 in the week ending 25 June, having recorded zero the week before. The total number of deaths remained below the five-year average in Wales and all English regions.', 'The numbers of COVID-19 related deaths were similar to the numbers recorded in the week ending 18 June for most English regions and Wales. The largest increase was reported in the North West.', 'Compared with the previous week, the number of deaths involving COVID-19 decreased or was similar across all age groups in the week ending 25 June 2021. Most deaths were among those over 65-years-old.', 'Using the most up-to-date data, the total number of deaths involving COVID-19 in England and Wales is over 140,000 (140,560 registrations up to 25 June 2021).', 'Our data are based on deaths registered in England and Wales. They include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by\u202flocal authority and health board.']","[{'text': 'Latest bulletin on deaths registered in England and Wales', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest'}]",placeholder
4,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,5.0,['6 July 2021'],"['North West and London had highest coronavirus death rate in 2020', 'The North West was the region with the highest coronavirus (COVID-19) death rate in 2020, accounting for age and population structure, followed by London.', 'There were 73,766 deaths due to COVID-19 registered in 2020 in England and Wales, 12.1% of all deaths registered within the year.', 'Deaths “due” to COVID-19 are deaths where coronavirus is an underlying cause, as recorded on a death certificate.', 'Of deaths in hospital in 2020, nearly 1 in 5 (19.6%) were due to COVID-19. In care homes and communal establishments, deaths due to COVID-19 were 13.4% and 12.2% of deaths, respectively.', 'Of deaths registered in 2020, most people who died due to COVID-19 in England and Wales had a pre-existing health condition.', 'A small proportion (5.4%) of deaths registered as due to COVID-19 in 2020 were attributed to the disease after diagnosis based on symptoms without a test to confirm, or when a test result was inconclusive. This was rare after Spring 2020 and is likely because of limited availability of testing at the beginning of the pandemic.']","[{'text': 'Read Deaths registered due to COVID-19: 2020', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/deathsregisteredduetocovid19/2020'}]",placeholder
5,https://web.archive.org/web/20210709115515/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,6.0,['2 July 2021'],"['Almost 9 in 10 adults say they have had their first coronavirus vaccine', 'Positive sentiment towards coronavirus vaccines remains high, at 96% among adults in Great Britain.', 'Nearly 9 in 10 (89%) adults reported having received at least one dose of a COVID-19 vaccine when surveyed between 23 and 27 June 2021, and 63% reported receiving their second dose.', 'Among young people aged 16 to 29 years, 93% were positive towards the vaccines in the latest survey, between 23 and 27 June 2021.', 'For the first time, we have also looked at vaccine hesitancy among specific younger age groups during the period 26 May to 20 June 2021.', 'Around 14% of young people aged 16 to 17 years in Great Britain reported hesitancy towards the coronavirus (COVID-19) vaccines, while 86% felt positive sentiment towards them.', 'This was the highest vaccine hesitancy among younger age groups, although most 16 to 17-year-olds are not currently eligible for COVID-19 vaccines.', 'Among those aged 18 to 21 years, 9% reported hesitancy, compared with 10% among those aged 22 to 25 years.']","[{'text': 'Read the latest bulletin on coronavirus and vaccine hesitancy', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandvaccinehesitancygreatbritain/26mayto20june2021'}]",placeholder
6,https://web.archive.org/web/20210713150217/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['13 July 2021'],"['Deaths from COVID-19 increased slightly in England and Wales', 'The number of deaths from all causes in England and Wales in the week ending 2 July 2021 was 8,808, which is 5.2% below the average for the corresponding week in 2015 to 2019.', 'Of these, 109 deaths were registered involving coronavirus (COVID-19), accounting for around one in 81 deaths (1.2%). This is a higher proportion than in the previous week, where deaths involving COVID-19 accounted for around 1 in 120 deaths.', 'Deaths include non-residents.', 'The proportion of deaths involving COVID-19 has been highest in those aged 75 years and over throughout the pandemic, however, this proportion has been lower since the start of January 2021. This likely reflects the impact of vaccinations.', 'Using the most up-to-date data, the total number of deaths involving COVID-19 in England and Wales is over 140,000 (140,699 registrations up to 2 July 2021).', 'Our data are based on deaths registered in England and Wales and include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by\u202flocal authority and health board.']","[{'text': 'Read the latest bulletin on coronavirus and clinically extremely vulnerable people in England', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest'}]",placeholder
7,https://web.archive.org/web/20210713150217/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,2.0,['13 July 2021'],"['3 in 10 clinically extremely vulnerable adults still shielding despite pause in guidance', 'Between 21 and 26 June 2021, around 3 in 10 (29%) of the 3.7 million adults identified as clinically extremely vulnerable (CEV) to coronavirus (COVID-19) in England were continuing to shield.', 'This is despite a change in government advice from 1 April 2021, which no longer required CEV people to shield. Instead, they were advised to take precautionary measures to protect themselves, such as meeting others outside where possible.', 'The latest data show that only 37% of CEV adults were comfortable or very comfortable about going to hospitality, education or cultural settings. Of those who were not comfortable, the most commonly reported measures that would help put them at ease included:', ' - mandatory wearing of face coverings (75%)', ' - regular sanitation, including use of hand sanitiser (75%)', ' - procedures at venues to enable social distancing and avoiding close contact (69%)']","[{'text': 'Read the latest bulletin on coronavirus and clinically extremely vulnerable people in England', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronavirusandclinicallyextremelyvulnerablepeopleinengland/latest'}]",placeholder
8,https://web.archive.org/web/20210715104624/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['15 July 2021'],"['Just over 4 in 10 businesses provided no training to furloughed staff', 'The percentage of businesses currently trading has increased steadily from 71% in January 2021 to 89% in early July 2021.', 'This is the highest percentage of businesses currently trading since comparable estimates began in June 2020, and higher than in late September and early October 2020, when few coronavirus (COVID-19) restrictions were in place across the UK, according to the Business Insights and Conditions Survey (BICS; Wave 34).', 'Asked if they had provided training to their workforce while on furlough, around 18% of businesses said they had, while 43% said they had not. The question was not applicable for a quarter (25%) of businesses that had not permanently stopped trading, while the remaining 15% responded that they were not sure.', 'Businesses were also asked which skills were in high demand in the last 12 months or that their workforce require extra support or training in. In the chart below columns will not sum to 100% as businesses could select multiple options.']","[{'text': 'Read the latest bulletin on business insights and impact on the UK economy', 'link': 'https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/bulletins/businessinsightsandimpactontheukeconomy/latest'}]",placeholder
9,https://web.archive.org/web/20210715104624/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,2.0,['15 July 2021'],"['Average daily UK flights rose by 9% in the latest week', 'In the week to Sunday 11 July 2021, the seven-day average number of daily flights to, from and within the UK rose by 9% from the previous week to 2,307 daily flights, according to data from EUROCONTROL.', 'This is 69% higher than the equivalent week in 2020 but remains at around a third of the level seen in the equivalent week in 2019.', 'Flight numbers have steadily increased since the introduction of the green list of foreign countries in mid-May. Earlier in the year, average daily flight figures were much lower at around 1,000 per day.', 'During July and August 2020, as travel corridors were introduced in the UK, flights steadily increased to nearly 3,000 per day (around 40% of the 2019 level), after falling to around 500 a day (10% of the 2019 level) during the first national lockdown.']","[{'text': 'Read the latest bulletin on faster indictors for the UK economy', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronavirustheukeconomyandsocietyfasterindicators/latest'}]",placeholder
