,roundup,bulletin_url,bulletin_mps
0,"Infections remain high in Wales but fall in other UK countries
The percentage of people testing positive for coronavirus (COVID-19) fell from record high levels in England in the latest week.
In the week ending 9 April 2022, infections remain high in Wales and continue to fall in Scotland. Infections also fell in Northern Ireland.
The estimated number of people living in private households (not in hospitals, care homes and/or other communal establishments) that had COVID-19 in the most recent week was:
 - 3,773,800 people (1 in 14) in England
 - 231,900 people (1 in 13) in Wales
 - 95,900 people (1 in 19) in Northern Ireland
 - 314,800 people (1 in 17) in Scotland
In England, the percentage of people testing positive has decreased in all age groups except those in School Year 7 to School Year 11 and those aged 70 and over, for which the trend was uncertain in the week ending 9 April 2022
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/14april2022,"In England, the percentage of people testing positive for coronavirus (COVID-19) decreased in the week ending 9 April 2022; we estimate that 3,773,800 people in England had COVID-19 (95% credible interval: 3,662,100 to 3,888,000), equating to 6.92% of the population or around 1 in 14 people.
In Wales, the percentage of people testing positive for COVID-19 remained high in the most recent week (up to 9 April 2022); we estimate that 231,900 people in Wales had COVID-19 (95% credible interval: 206,200 to 259,800), equating to 7.63% of the population or around 1 in 13 people.
In Northern Ireland, the trend in the percentage of people testing positive for COVID-19 decreased in the week ending 9 April 2022; we estimate that 95,900 people in Northern Ireland had COVID-19 (95% credible interval: 78,800 to 114,000), equating to 5.23% of the population or around 1 in 19 people.
In Scotland, the percentage of people testing positive for COVID-19 continued to decrease in the week ending 9 April 2022; we estimate that 314,800 people in Scotland had COVID-19 (95% credible interval: 281,400 to 348,700), equating to 5.98% of the population or around 1 in 17 people.
"
1,"No evidence suicides increased during the COVID-19 pandemic
Adjusting for age, the suicide rate in England and Wales between April and December 2020 was 9.8 deaths per 100,000 people.
This was statistically significantly lower than the same period in the years 2018 and 2019, but in line with the rate in 2017.
The fall was mainly driven by a decrease in male suicides, which were statistically significantly lower (14.8 per 100,000) compared with the same periods in 2018 and 2019.
A total of 3,828 suicides occurred during this period – 9.2% fewer than the same period in 2019 and 4.7% fewer than the five-year average (2015 to 2019).
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/deathsfromsuicidethatoccurredinenglandandwales/apriltodecember2020,"3,828 suicides occurred between April and December 2020 in England and Wales, equivalent to an age-standardised mortality rate of 9.8 deaths per 100,000 people; this is statistically significantly lower than the same period in 2019 and 2018, but statistically similar to 2017.
The male suicide rate (14.8 deaths per 100,000 males) was statistically significantly lower than in the same period between 2018 and 2019, whereas the female rate (5.0 deaths per 100,000 females) showed no statistically significant change.
Between April and December 2020, age-specific suicide rates in England and Wales statistically significantly decreased for those aged 30 to 39 years from the same period in 2019.
Coroners' investigations result in suicide registration delays and were further disrupted by the coronavirus (COVID-19) pandemic; while our provisional data for 2020 suicides will be underestimates, late registrations will not fully explain the decrease because most suicides for this period will now be registered.
"
2,"Retail and recreation visits remain below pre-COVID-19 levels
The number of visits to “grocery and pharmacy” locations in the UK fell by 2%, “retail stores and recreation areas” by 1% and “workplaces” by 4% in the week to 8 April 2022.
Google Mobility data show that the seven-day rolling average of visits to retail and recreation locations in the week to 8 April 2022 was 1% lower than in the previous week. Google Mobility data provide an indicator of changes in the volume of visits to different location types compared with a pre-coronavirus (COVID-19) baseline; in the week to 8 April 2022 they were 16% below levels seen prior to the coronavirus pandemic.
In other consumer spending indicators, most measures were down in the latest week. Transactions at Pret A Manger stores mostly decreased in the latest week, while UK seated diner numbers fell by 2 percentage points. During the same period in Manchester, Pret A Manger transactions and seated diner numbers fell by 22 and 13 percentage points, respectively.
Visits to all location categories were down in the most recent week. Meanwhile, UK spending on credit and debit cards increased slightly, in part driven by a 6 percentage point increase in “work-related” spending, which includes road fuel spending.
",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/14april2022,"Most of the consumer behaviour measures we monitor were down in the latest week, with falls in visits to ""grocery and pharmacy"" (2%), ""retail stores and recreation areas"" (1%), and ""workplaces"" (4%), according to Google Mobility data. Section 3.
Transactions at UK Pret A Manager locations mostly decreased in the latest week, while UK seated diner numbers fell by 2 percentage points; in Manchester in the same period, Pret A Manger transactions and seated diner numbers fell by 22 and 13 percentage points, respectively (Pret A Manger, OpenTable).
UK credit and debit card spending showed a slight week-on-week increase of 2 percentage points; ""work-related"" spending, which includes the purchasing of road fuel, increased by 6 percentage points (Bank of England CHAPS data).
Total online job advert volumes increased by 2% in the latest week, with increases in 10 of the 12 English regions and UK countries; the largest weekly category increase was in ""energy, oil and gas"" (9%) (Adzuna).
Between early February and March 2022, the standardised Business Insights and Conditions Survey (BICS) turnover balance estimate increased by 0.6% (final results from Wave 53 of BICS). Section 4.
Transport indicators displayed week-on-week growth coinciding with the Easter holidays in parts of the UK; this included a 2% increase in ship visits and a 2 percentage point increase in road traffic, while daily UK flights rose by 3% and are now 81% of the pre-coronavirus (COVID-19) equivalent week (exactEarth, Department for Transport, EUROCONTROL).
The System Average Price (SAP) of gas decreased by 10% in the week to 10 April 2022, with the level now 53% of that on 10 March 2022, when prices peaked in the rolling seven-day series; the SAP is 356% higher compared with the same period last year (week ending 11 April 2021) (National Grid).
"
3,"Vaccinated remain less likely to test positive for COVID-19
Most people in the UK who reported having been vaccinated against the coronavirus (COVID-19) continued to be less likely to test positive for the virus than those who reported not being vaccinated in the fortnight ending 26 March 2022.
Those who had already been infected with COVID-19 continued to be less likely to test positive than those who had not experienced a prior infection in the fortnight ending 26 March 2022.
Other characteristics of people testing positive for COVID-19 in the UK in the fortnight up to 26 March 2022 were that people who reported that they had travelled abroad in the last 28 days continued to be more likely to test positive for COVID-19 than those who had not.
People who reported working outside the home 2, 3, or 4 days per week were more likely to test positive than those who reported not working outside the home, in the fortnight up to 26 March 2022.
Meanwhile the percentage of people testing positive who reported loss of taste or smell remained at low levels in March 2022, after decreasing sharply between December 2021 and January 2022 (during the time when the Omicron variants became most common).
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveycharacteristicsofpeopletestingpositiveforcovid19uk/13april2022,"Most people who reported having been vaccinated continued to be less likely to test positive for coronavirus (COVID-19) than those who reported not being vaccinated, in the fortnight up to 26 March 2022.
People previously infected with COVID-19 continued to be less likely to test positive than those who had not experienced a prior infection, in the fortnight up to 26 March 2022.
People who reported that they had travelled abroad in the last 28 days continued to be more likely to test positive for COVID-19 than those who had not, in the fortnight up to 26 March 2022.
People who reported working outside the home two, three or four days per week were more likely to test positive than those who reported not working outside the home, in the fortnight up to 26 March 2022.
The percentage of people testing positive who reported loss of taste or smell remained at low levels in March 2022, after decreasing sharply between December 2021 and January 2022 (during the time when the Omicron variants became most common). 
"
4,"Deaths in care homes below five-year average
Of the 9,840 deaths registered in England and Wales in the week ending 1 April 2022 (Week 13), 853 (8.7%) mentioned ""novel coronavirus (COVID-19)"".
Of such deaths, 62.0% (529 out of 853) had COVID-19 as the underlying cause of death compared with 62.6% in the previous week (Week 12).
In Week 13, the number of excess deaths in care homes in England and Wales was 7.0% below average and 3.0% below the five-year average in hospitals. The number of excess deaths in private homes was 21.7% above the five-year average but 10.1% below the average for other settings.
The number of deaths registered in the UK in Week 13 was 11,439, which is 3.6% above the five-year average (398 more deaths). Of these deaths, 1,061 involved coronavirus, which was 55 more than in Week 12.
The data refer to the date on which a death is registered, not the date of death. Deaths in England and Wales are normally registered within five days, but there can be a considerably longer delay in some circumstances, particularly when the death is referred to a coroner.
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/weekending1april2022,"In the week ending 1 April 2022 (Week 13), 9,840 deaths were registered in England and Wales; of these deaths, 853 mentioned ""novel coronavirus (COVID-19)"", accounting for 8.7% of all deaths.
Of the 853 deaths involving COVID-19, 62.0% (529 deaths) had this recorded as the underlying cause of death in Week 13, compared with 62.6% in Week 12.
In Week 13 in England and Wales, the number of deaths was above the five-year average in private homes (21.7% above, 522 excess deaths) but below the five-year average in hospitals (3.0% below, 132 fewer deaths), care homes (7.0% below, 144 fewer deaths) and other settings (10.1% below, 78 fewer deaths).
The number of deaths registered in the UK in the week ending 1 April 2022 (Week 13) was 11,439, which was 3.6% above the five-year average (398 more deaths); of these deaths, 1,061 involved COVID-19, which was 55 more than in Week 12.
"
5,"Infection rates remain high across the UK
The percentage of people testing positive for coronavirus (COVID-19) remained high in England and continued to increase in Wales in the week ending 2 April 2022. 
Meanwhile, the percentage testing positive decreased in Scotland and the trend was uncertain in Northern Ireland in the most recent week. 
Infection levels in England and Wales were the highest recorded since the study began. 
The data for Scotland refer to the week ending 3 April 2022. 
The estimated number of people living in private households (not in hospitals, care homes and/or other communal establishments) that had COVID-19 in the most recent week was:
 - 4,141,600 people (1 in 13) in England
 - 230,800 people (1 in 13) in Wales
 - 113,900 people (1 in 16) in Northern Ireland
 - 396,800 people (1 in 13) in Scotland
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/8april2022,"In England, the percentage of people testing positive for coronavirus (COVID-19) remained high in the week ending 2 April 2022; we estimate that 4,141,600 people in England had COVID-19 (95% credible interval: 4,033,600 to 4,249,500), equating to 7.60% of the population or around 1 in 13 people.
In Wales, the percentage of people testing positive for COVID-19 continued to increase in the week ending 2 April 2022; we estimate that 230,800 people in Wales had COVID-19 (95% credible interval: 208,900 to 253,100), equating to 7.59% of the population or around 1 in 13 people.
In Northern Ireland, the trend in the percentage of people testing positive for COVID-19 was uncertain in the week ending 2 April 2022; we estimate that 113,900 people in Northern Ireland had COVID-19 (95% credible interval: 97,100 to 131,500), equating to 6.21% of the population or around 1 in 16 people.
In Scotland, the percentage of people testing positive for COVID-19 decreased in the week ending 3 April 2022; we estimate that 396,800 people in Scotland had COVID-19 (95% credible interval: 359,800 to 434,200), equating to 7.54% of the population or around 1 in 13 people.
In the week ending 3 April 2022, the Omicron BA.2 variant remained the dominant variant across all UK countries; the percentage of people with infections compatible with the Omicron BA.2 variant remained high in England and continued to increase in Wales, however the trend was uncertain in Scotland and Northern Ireland.
"
6,"1 in 37 people in the UK have long COVID
An estimated 1.7 million people living in private households in the UK were experiencing self-reported long COVID as of 5 March 2022.
This is around 2.7% of the population, or 1 in every 37 people, with symptoms persisting for more than four weeks after the first suspected coronavirus (COVID-19) infection that were not explained by something else.
Of those, 1.2 million people (69%) first had (or suspected they had) COVID-19 at least 12 weeks previously, 784,000 (45%) at least one year previously and 74,000 (4%) at least two years previously.
Fatigue continued to be the most common symptom reported as part of individuals' experience of long COVID (51% of those with self-reported long COVID), followed by shortness of breath (34%), loss of smell (28%), and muscle ache (24%).
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/prevalenceofongoingsymptomsfollowingcoronaviruscovid19infectionintheuk/7april2022,"An estimated 1.7 million people living in private households in the UK (2.7% of the population) were experiencing self-reported long COVID (symptoms persisting for more than four weeks after the first suspected coronavirus (COVID-19) infection that were not explained by something else) as of 5 March 2022 (see Figure 1).
The estimates presented in this analysis relate to self-reported long COVID, as experienced by study participants who responded to a representative survey, rather than clinically diagnosed ongoing symptomatic COVID-19 or post-COVID-19 syndrome in the full population.
Of people with self-reported long COVID, 422,000 (24%) first had (or suspected they had) COVID-19 less than 12 weeks previously, 1.2 million people (69%) at least 12 weeks previously, 784,000 (45%) at least one year previously and 74,000 (4%) at least two years previously.
Of people with self-reported long COVID, 561,000 (33%) first had (or suspected they had) COVID-19 before Alpha became the main variant; this figure was 253,000 (15%) in the Alpha period, 470,000 (27%) in the Delta period, and 334,000 (19%) in the Omicron period.
Long COVID symptoms adversely affected the day-to-day activities of 1.1 million people (67% of those with self-reported long COVID), with 322,000 (19%) reporting that their ability to undertake their day-to-day activities had been ""limited a lot"".
Fatigue continued to be the most common symptom reported as part of individuals' experience of long COVID (51% of those with self-reported long COVID), followed by shortness of breath (34%), loss of smell (28%), and muscle ache (24%).
As a proportion of the UK population, prevalence of self-reported long COVID was greatest in people aged 35 to 49 years, females, people living in more deprived areas, those working in social care, teaching and education or health care, and those with another activity-limiting health condition or disability.
"
7,"COVID-19 death rates higher for many ethnic minorities during Omicron
Rates of death involving coronavirus (COVID-19) remained highest among many ethnic minority groups while the Omicron variant has been dominant. 
Between 10 January and 16 February 2022, rates of deaths involving COVID-19 were highest for the Bangladeshi and Pakistani ethnic groups. This is similar to patterns observed before Omicron became the main variant. 
Since Omicron became the main variant, men in the Bangladeshi ethnic group had the highest rate of death involving COVID-19, 2.7 times higher than men in the White British ethnic group, followed by Pakistani men (2.2 times) and Black Caribbean men (1.6 times). 
Women in the Pakistani ethnic group had the highest rate of death involving COVID-19, 2.5 times higher than women in the White British ethnic group, followed by Bangladeshi women (1.9 times) and women in the Mixed ethnic group (1.4 times). 
Since the pandemic began, patterns in death rates from all causes have been reversed among some ethnic groups. 
For example, all-cause mortality rates during the pandemic (24 January 2020 to 16 February 2022), were higher for Bangladeshi men and women, Black Caribbean men and Pakistani men compared to the White British group. 
This differs from pre-pandemic all-cause mortality rates which were highest for the White British and Mixed ethnic groups. 
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/updatingethniccontrastsindeathsinvolvingthecoronaviruscovid19englandandwales/10january2022to16february2022,"Patterns in rates of deaths involving COVID-19 between ethnic groups have changed over the course of the coronavirus (COVID-19) pandemic; this release presents mortality rates by ethnic group for the period since Omicron became the main variant, as well as mortality rates for each wave since the start of the pandemic.
Between 10 January 2022 and 16 February 2022 (when Omicron was the main variant), rates of deaths involving COVID-19 were higher for many ethnic minority groups compared with the White British group and highest for the Bangladeshi and Pakistani groups (similar to patterns observed earlier in the third wave of the pandemic, before Omicron became the main variant).
Since the start of the period when Omicron was the main variant, males in the Bangladeshi ethnic group had the highest rate of death involving COVID-19, 2.7 times higher than males in the White British ethnic group; this was followed by Pakistani males (2.2 times) and Black Caribbean males (1.6 times); females in the Pakistani ethnic group had the highest rate of death involving COVID-19, 2.5 times higher than females in the White British ethnic group, followed by Bangladeshi females (1.9 times) and females in the Mixed ethnic group (1.4 times).
All-cause mortality rates for the entire period since the coronavirus pandemic began (24 January 2020 to 16 February 2022) were higher for males and females in the Bangladeshi ethnic group and males in the Black Caribbean and Pakistani ethnic groups compared with the White British ethnic group; this differs from pre-coronavirus (COVID-19) pandemic all-cause mortality rates, which were highest for the White British and Mixed ethnic groups compared with all other ethnic minority groups.
Although the low number of deaths in this short study period since Omicron became the main variant makes it difficult to assess the statistical significance of comparisons between groups, several main patterns are similar to those observed earlier in the third wave of the pandemic before Omicron became the main variant; in the future analyses over longer time periods with more data should allow for more precise estimates.
"
8,"Well-being levels out across all measures
While the coronavirus (COVID-19) pandemic has impacted people’s reporting of their personal well-being, during the periods Quarter 2 (Apr to Jun) 2021 and Quarter 3 (July to Sept) 2021 there has been little change to well-being.
During periods of the COVID-19 pandemic, both males and females saw an increase in anxiety and a reduction in life satisfaction, feeling that the things done in life are worthwhile, and happiness.
Our previous pre-pandemic analysis has shown females have the same or higher life satisfaction and happiness than males.
However, females reported lower levels of life satisfaction than males in Quarter 4 (Oct to Dec) 2020 and Quarter 1 (Jan to Mar) 2021, and lower happiness than males in Quarter 2 2020 (Apr to Jun), Quarter 4 2020, and Quarter 1 2021.
The declines in life satisfaction and happiness largely recovered by Quarter 2 2021 for both sexes. There was no significant change in these indicators for either sex during Quarter 3 2021, where there was also no longer a significant difference between the sexes.
For males, happiness scores in Quarter 2 and Quarter 3 2021 and life satisfaction scores in Quarter 3 2021 returned to levels seen in corresponding 2019 periods.
For females, Quarter 2 and Quarter 3 (Jul to Sept) 2021, happiness scores returned to levels seen in corresponding 2019 periods, but life satisfaction remained below levels seen in corresponding 2019 periods.
",https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/personalwellbeingintheukquarterly/april2011toseptember2021,"Well-being levelled off across all four indicators, with no significant differences between Quarter 2 (Apr to June) 2021 and Quarter 3 (July to Sept) 2021. 
During periods of the coronavirus (COVID-19) pandemic, both males and females saw an increase in anxiety and a reduction in life satisfaction, feeling that the things done in life are worthwhile, and happiness.
At times during the coronavirus pandemic, females experienced lower life satisfaction and happiness than males, which differs from pre-coronavirus pandemic research.
For males, happiness scores in Quarter 2 and Quarter 3 2021 and life satisfaction scores in Quarter 3 2021 returned to levels seen in the corresponding 2019 pre-coronavirus pandemic periods.
For females, in Quarter 2 and Quarter 3 2021, happiness scores returned to levels seen in the corresponding 2019 periods, but life satisfaction remained below levels seen in the same periods of 2019.
"
9,"UK spending and OpenTable seated diners increased by 6 percentage points
UK spending on credit and debit cards and OpenTable UK seated diners both increased by 6 percentage points in the latest week.
Consumer activity across the UK showed a mixed picture in the most recent week, with visits to retail stores and recreation areas at 15% below pre-coronavirus (COVID-19) levels; 1% lower than the previous week, according to Google Mobility data. Additionally, Springboard’s retail footfall decreased by 8% from the previous week.
Visits to retail and recreation locations have not yet returned to pre-coronavirus levels and remain below pre-Omicron variant levels. There has been a slow upward trend in visits to workspaces since the low of April 2020, but these are still 21% below pre-coronavirus levels. Visits to transit stations have been the slowest to recover and are still 28% below pre-coronavirus levels.
Visits to each location type in the week to 1 April 2022 compared with the previous week:
 - Parks decreased by 12%
 - No change in transit stations
 - Grocery and pharmacy increased by 1%
 - Retail and recreation decreased by 1%
 - Workplaces increased by 1%

",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/7april2022,"Both UK spending on credit and debit cards, and OpenTable UK seated diners, increased by 6 percentage points in the latest week; meanwhile, visits to retail stores and recreation areas were 15% below pre-coronavirus (COVID-19) levels and 1% lower than the previous week according to Google Mobility data. Section 3.
In the latest week, there were increases in 16 of the 28 online job advert categories, with the largest weekly increase in “travel and tourism” (11%). Section 4.
In March 2022, the seasonally adjusted number of new Value Added Tax (VAT) reporters was 12% lower than the previous month and 18% lower than reported in March 2021. Section 4.
The top two concerns reported by businesses continued to be input price inflation (23%) and energy prices (20%); concerns about energy prices saw the largest rise of all concerns, from 15% in late February 2022 to 20% in late March 2022 (final results from Wave 53 of the Business Insights and Conditions Survey (BICS)).
While the volume of all ship visits and road traffic showed week-on-week decreases of 10% and 4 percentage points, respectively, daily UK flights increased by 19% in the latest week, to the highest level compared with the pre-coronavirus equivalent week. Section 5.
The System Average Price (SAP) of gas increased by 17% in the week to 3 April 2022, with the level now 58% of that on 10 March 2022, when prices peaked in the rolling seven-day series; the SAP is 444% higher compared with the same period last year (week ending 4 April 2021).
"
